date,incidence
2018-04-05,1
2018-04-06,0
2018-04-07,0
2018-04-08,1
2018-04-09,0
2018-04-10,0
2018-04-11,0
2018-04-12,3
2018-04-13,1
2018-04-14,0
2018-04-15,0
2018-04-16,0
2018-04-17,0
2018-04-18,1
2018-04-19,1
2018-04-20,1
2018-04-21,1
2018-04-22,0
2018-04-23,1
2018-04-24,1
2018-04-25,1
2018-04-26,0
2018-04-27,1
2018-04-28,0
2018-04-29,0
2018-04-30,0
2018-05-01,2
2018-05-02,0
2018-05-03,2
2018-05-04,6
2018-05-05,2
2018-05-06,1
2018-05-07,1
2018-05-08,1
2018-05-09,0
2018-05-10,3
2018-05-11,0
2018-05-12,1
2018-05-13,2
2018-05-14,2
2018-05-15,3
2018-05-16,3
2018-05-17,0
2018-05-18,2
2018-05-19,2
2018-05-20,3
2018-05-21,2
2018-05-22,0
2018-05-23,0
2018-05-24,0
2018-05-25,0
2018-05-26,0
2018-05-27,0
2018-05-28,1
2018-05-29,0
2018-05-30,0
2018-05-31,0
2018-06-01,0
2018-06-02,1
