history,sse_analytic,ssi_analytic,ssi_mcmc,uncertain_analytic,uncertain_mcmc,sse_sim,ssi_sim,uncertain_sim,posterior_sse
"[1, 0]",0.12089575255348128,0.04190755452482442,0.05017704005707191,0.08393940753311176,0.08184432753964777,0.1193,0.03917885415269019,0.0875713222525428,0.5321282679855313
"[1, 1]",0.2780151523420147,0.3796982791932627,0.37931875878653254,0.3479238514127454,0.3484673825389241,0.27608,0.3769739258171135,0.35080645161290325,0.3124847628554937
"[1, 2]",0.4070531205351322,0.5983955132377995,0.5915463007767697,0.5369431729321776,0.5367138270684757,0.40754,0.6016800156280524,0.5506999621642074,0.32116427226408945
"[2, 0]",0.22717572212148995,0.08205886592339773,0.0793677066596371,0.16390365802199974,0.1613883197109007,0.22174,0.08734155235283904,0.1567717996289425,0.5639923179349993
"[2, 1]",0.3653000538318373,0.4056936073798134,0.40763489390447927,0.3919284527185444,0.3912425106134347,0.36758,0.4147131400370142,0.3984838497033619,0.3407760261775412
"[2, 2]",0.47873787975227566,0.6152257751642005,0.6228242679043563,0.5700823449129881,0.5772911980917248,0.47536,0.6038475905864774,0.5651590647757762,0.33075043112774305
"[1, 0, 0]",0.06497983357459935,0.013995315239022088,0.015668719024113043,0.040577996696691584,0.04046109161012322,0.06508,0.013154048523823443,0.038791286015460294,0.5213873215924835
"[1, 0, 1]",0.23209290095614554,0.25120832466829535,0.2563369333507667,0.24302635479856405,0.24082708324348034,0.23208,0.2601054481546573,0.245072665737607,0.42802974147681727
"[1, 0, 2]",0.3693384015274124,0.43135262771902527,0.43757765236690194,0.3944505166090805,0.39400743860245335,0.36778,0.4293079516161015,0.39844992050874406,0.5950588014421702
"[1, 1, 0]",0.17801980024727948,0.12646417938491283,0.12837840085322705,0.15016873548145324,0.15099035826831336,0.17804,0.13458528951486698,0.1502237789453201,0.4597860660008789
"[1, 1, 1]",0.32492960758621303,0.3585729934016274,0.3587699896017844,0.35429953839469286,0.35646091775299504,0.32644,0.36129407206509107,0.3483518626877316,0.12702214427468766
"[1, 1, 2]",0.4455827100813373,0.5360572547244782,0.5277084631363413,0.5255693330431729,0.5323082034482635,0.44922,0.5397903726708074,0.5332536837913182,0.11592124307088557
"[1, 2, 0]",0.2773937150804455,0.22610425519159483,0.22819071262404822,0.2586205294370482,0.25977522242617435,0.27658,0.22999407231772376,0.26868646601554713,0.6339757586825704
"[1, 2, 1]",0.40654275070365165,0.4329603779738621,0.43487247645851623,0.42784874579002474,0.43124279171163843,0.40364,0.42727631060307447,0.414760294410185,0.19349323584413802
"[1, 2, 2]",0.5126094055747157,0.5888726624155105,0.5845874314280889,0.5787860583183295,0.5836824275335026,0.50708,0.5914404596790173,0.5748,0.13226033761235076
