week,week_start,cases,sse_delay_pmo,ssi_delay_pmo,ensemble_pmo,post_sse,post_ssi,sse_n_distinct,ssi_n_distinct
0,04/05,1,0.17828,0.1797,0.17898999999999998,0.5,0.5,100000,100000
1,11/05,1,0.32174,0.42537,0.39078772266065387,0.33370913190529883,0.6662908680947012,5328,10637
2,18/05,2,0.48453,0.53763,0.5267645329239157,0.2046227321296497,0.7953772678703503,8197,15928
3,25/05,9,0.92898,0.97342,0.9643992398022085,0.20298740319062525,0.7970125968093748,1086,1097
4,01/06,7,0.95438,0.9647,0.9624454116513927,0.21846786323713685,0.7815321367628631,6490,5913
5,08/06,1,0.79872,0.67705,0.7535926582462962,0.6291005033804237,0.37089949661957633,2779,458
6,15/06,11,0.96369,0.97101,0.9648571976405698,0.8405467704139771,0.15945322958602293,2996,964
7,22/06,17,0.9974,0.99923,0.9978165231871836,0.7723917009925496,0.2276082990074504,2201,3419
8,29/06,7,0.98957,0.98185,0.989316347220214,0.9671434223075176,0.0328565776924824,2368,273
9,06/07,9,0.98203,0.97467,0.9816087219016686,0.9427611279440933,0.05723887205590672,3965,7086
10,13/07,7,0.96887,0.95717,0.9680118824220344,0.9266566172679013,0.07334338273209873,4993,6509
11,20/07,8,0.96799,0.96582,0.9677540049001295,0.8912464977555604,0.10875350224443958,5490,8464
12,27/07,11,0.98595,0.9895,0.9865024992983835,0.8443663948215482,0.15563360517845182,4752,7178
13,03/08,13,0.99421,0.99625,0.9946469775276012,0.7857953296072689,0.21420467039273106,4366,6457
14,10/08,9,0.98926,0.98637,0.9887574647370532,0.8261123657623424,0.17388763423765763,3880,2996
15,17/08,4,0.9442,0.90556,0.9398924649552862,0.8885213497744877,0.11147865022551229,2186,1303
16,24/08,4,0.87394,0.82706,0.8665872630677067,0.843158341887943,0.15684165811205697,6011,8912
17,31/08,6,0.90413,0.90577,0.9044838831314184,0.7842176027937066,0.21578239720629344,6707,9921
18,07/09,3,0.83147,0.78969,0.8235315337185686,0.8099936265813437,0.19000637341865634,9188,7833
