week,cases,sse_delay_pmo,ssi_delay_pmo,ensemble_pmo,post_sse,post_ssi,sse_n_distinct,ssi_n_distinct
0,1,0.1773,0.17668,0.17699,0.5,0.5,50000,50000
1,2,0.47164,0.6523,0.5891272121042309,0.34967778089100593,0.6503222191089941,1248,2321
2,5,0.79716,0.84918,0.8411651535857823,0.1540724031952665,0.8459275968047335,1423,4201
3,3,0.77868,0.76674,0.7686224689708301,0.15766071782497126,0.8423392821750287,5761,5605
4,4,0.80728,0.80178,0.8024059820657441,0.11381492104438368,0.8861850789556163,4290,6251
5,6,0.89368,0.90918,0.9080188080973273,0.07491560662405049,0.9250843933759495,2857,4531
6,3,0.82812,0.79438,0.7976034954552862,0.09553928438904137,0.9044607156109586,4774,3660
7,0,0.51098,0.34228,0.3674931428810293,0.149455500183932,0.8505444998160681,2976,1789
8,0,0.19468,0.12182,0.13170619316329016,0.13568752625981562,0.8643124737401844,12660,14004
9,1,0.24554,0.22132,0.22393350953296448,0.10790708228589992,0.8920929177141,10477,13375
