history,sse_analytic,ssi_analytic,ssi_mcmc,sse_sim,ssi_sim
"[1, 0]",0.12089575255348128,0.04190755452482442,0.04359107906569959,0.1236,0.04637526652452026
"[1, 1]",0.2780151523420147,0.3796982791932627,0.38354953170970674,0.2759,0.37364890048453225
"[1, 2]",0.4070531205351322,0.5983955132377995,0.5963289989268166,0.411,0.585691823899371
"[2, 0]",0.22717572212148995,0.08205886592339773,0.08190604378854238,0.2299,0.08206847864454642
"[2, 1]",0.3653000538318373,0.4056936073798134,0.41503439783885654,0.3663,0.4090274546300605
"[2, 2]",0.47873787975227566,0.6152257751642005,0.6170671063941799,0.4772,0.6051884112857413
"[1, 0, 0]",0.06497983357459935,0.013995315239022088,0.013762870535719673,0.0693,0.015261520225218551
"[1, 0, 1]",0.23209290095614554,0.25120832466829535,0.24628449917031459,0.2346,0.2589803012746234
"[1, 0, 2]",0.3693384015274124,0.43135262771902527,0.4408934073710934,0.3716,0.430990352431581
"[1, 1, 0]",0.17801980024727948,0.12646417938491283,0.12733269134017455,0.1792,0.12061275935621485
"[1, 1, 1]",0.32492960758621303,0.3585729934016274,0.35245169855616654,0.3222,0.3546671918077983
"[1, 1, 2]",0.4455827100813373,0.5360572547244782,0.5382255136857184,0.4472,0.5338949843260188
"[1, 2, 0]",0.2773937150804455,0.22610425519159483,0.2263636697055409,0.2751,0.2290836653386454
"[1, 2, 1]",0.40654275070365165,0.4329603779738621,0.43400733200613995,0.4029,0.437
"[1, 2, 2]",0.5126094055747157,0.5888726624155105,0.5868049874788432,0.5071,0.593941793704217
