history,pmo_sse_mcmc,pmo_ssi_mcmc,uncertain_mcmc,pmo_sse_sim,pmo_ssi_sim,uncertain_sim,posterior_sse
"[1, 0]",0.11452602458914021,0.0390341201051454,0.0793913479405191,0.1162,0.039174166225516144,0.07880201301092427,0.5313766751987844
"[1, 1]",0.2608742827376346,0.3567308119367304,0.3287207460119796,0.2622,0.3520196300490751,0.33713111692192754,0.3143607297943152
"[1, 2]",0.38653334957507385,0.569480013685904,0.5106021445336212,0.3862,0.5734123310498056,0.5073853826971034,0.32363502923228665
"[2, 0]",0.20836025145795561,0.07325652543202321,0.1536443704924112,0.2108,0.0750823651812034,0.14745916515426497,0.562620878151575
"[2, 1]",0.3393159011964201,0.37562043754867114,0.36450967887008784,0.3522,0.3845553822152886,0.3742889647326507,0.3406457296316982
"[2, 2]",0.4469756359574701,0.5872628211537274,0.5384569992092729,0.4464,0.5823472356935014,0.5400966183574879,0.33338071016242865
"[1, 0, 0]",0.060720138111020096,0.01278936149046106,0.037590409438485045,0.0616,0.0144,0.03750174264603374,0.5201723875497541
"[1, 0, 1]",0.2163623710696114,0.22752892941751934,0.22752124125829068,0.2276,0.2465564738292011,0.2319434102755026,0.42661322655965545
"[1, 0, 2]",0.3554629131984304,0.40893569593086565,0.3629303978256231,0.362,0.4119528283030182,0.36980090676128524,0.5958805940632701
"[1, 1, 0]",0.16719022746869946,0.1150886573150618,0.13668246575383758,0.1636,0.12336892052194544,0.1381811054488436,0.4621977345503343
"[1, 1, 1]",0.31124815585124765,0.33649991730919904,0.33371756060849334,0.2954,0.3387317073170732,0.3390658589017002,0.12664946513465233
"[1, 1, 2]",0.42415718335514135,0.500051991571449,0.5087205073469088,0.4282,0.511864406779661,0.48914330833004344,0.11680569266267293
"[1, 2, 0]",0.2604164577954445,0.20786139681367444,0.24164161879648655,0.264,0.21122047244094488,0.2394,0.6329555385390189
"[1, 2, 1]",0.3848665073306331,0.4093102501724739,0.39906320130865325,0.3896,0.4182577565632458,0.4021587047771337,0.19463080639635363
"[1, 2, 2]",0.48366574165884946,0.5538389428721207,0.5526255254910487,0.4836,0.5628599801390268,0.5582834331337325,0.13337509012472493
